Tanggal;Unit;Nama Barang;Satuan;Jumlah
31/07/2026;Asuransi;Isi staples;pcs;5
31/07/2026;Asuransi;Kertas A4 ;rim;1
31/07/2026;Asuransi;Kertas HVS A4;rim;2
31/07/2026;Asuransi;Kertas HVS F4;rim;1
31/07/2026;Asuransi;Tisu besar;pcs;1
31/07/2026;Asuransi;Tisu kecil;pcs;1
31/07/2026;CSSD;Deterjen;botol;2
31/07/2026;CSSD;Plastik hitam;pack;1
31/07/2026;CSSD;Plastik kuning;pack;1
31/07/2026;CSSD;Tisu besar;pack;2
31/07/2026;DPM Mejobo;Baterai bulat;buah;1
31/07/2026;DPM Mejobo;Kertas buffalo hijau;lembar;20
31/07/2026;DPM Mejobo;Kertas HVs;lembar;20
31/07/2026;DPM Mejobo;Sabun cuci tangan;botol;1
31/07/2026;DPM Mejobo;Tisu besar;pack;2
31/07/2026;Farmasi;Bolpoin;buah;8
31/07/2026;Farmasi;Isi staples;box;10
31/07/2026;Farmasi;Karbon biru;buah;1
31/07/2026;Farmasi;Kertas potong;pack;2
31/07/2026;Farmasi;Sabun;botol;1
31/07/2026;Farmasi;Spidol;buah;5
31/07/2026;Farmasi;Tisu besar;pack;3
31/07/2026;Farmasi;Tisu kecil;pack;3
31/07/2026;Gizi;Kresek sampah kecil;pack;1
31/07/2026;Gizi;Sabun cuci piring;botol;1
31/07/2026;Gizi;Sabun cuci tangan;botol;1
31/07/2026;Gizi;Sendok;buah;2
31/07/2026;Gizi;Solasi;buah;1
31/07/2026;Gizi;Solasi bening;pack;1
31/07/2026;Gizi;Spons;buah;2
31/07/2026;Gizi;Tisu besar;pack;2
31/07/2026;Gizi;Tisu kecil;pack;1
31/07/2026;Laboratorium;Bayclin;botol;1
31/07/2026;Laboratorium;Bolpoin;buah;2
31/07/2026;Laboratorium;Bolpoin warna;buah;1
31/07/2026;Laboratorium;Buku batik besar;buah;2
31/07/2026;Laboratorium;Kertas HVS A4;rim;2
31/07/2026;Laboratorium;Kertas HVS F4;rim;2
31/07/2026;Laboratorium;Map;buah;2
31/07/2026;Laboratorium;Sabun;botol;1
31/07/2026;Laboratorium;Tipe-X kertas;buah;1
31/07/2026;Laboratorium;Tisu besar;pcs;2
