Baris;"Unit Excel";"Barang Excel";Masalah
2;Asuransi;"Isi staples";"Nama mirip (Sistem: 'Isi staples besar') | Satuan beda (Excel: 'box', Sistem: 'Pcs')"
3;Asuransi;"Kertas A4 K";"Barang 'Kertas A4 K' TIDAK DITEMUKAN"
4;Asuransi;"Kertas HVS A4";"Barang 'Kertas HVS A4' TIDAK DITEMUKAN"
5;Asuransi;"Kertas HVS F4";"Barang 'Kertas HVS F4' TIDAK DITEMUKAN"
6;Asuransi;"Tisu besar";"Satuan beda (Excel: 'pack', Sistem: 'pcs')"
8;CSSD;Deterjen;"Barang 'Deterjen' TIDAK DITEMUKAN"
9;CSSD;"Plastik hitam";"Nama mirip (Sistem: 'Plastik Hitam 40') | Satuan beda (Excel: 'pack', Sistem: 'lembar')"
10;CSSD;"Plastik kuning";"Nama mirip (Sistem: 'Plastik Kuning 40') | Satuan beda (Excel: 'pack', Sistem: 'lembar')"
11;CSSD;"Tisu besar";"Satuan beda (Excel: 'pack', Sistem: 'pcs')"
12;"DPM Mejobo";"Baterai bulat";"Unit 'DPM Mejobo' tidak ditemukan | Barang 'Baterai bulat' TIDAK DITEMUKAN"
13;"DPM Mejobo";"Kertas buffalo hijau";"Unit 'DPM Mejobo' tidak ditemukan | Barang 'Kertas buffalo hijau' TIDAK DITEMUKAN"
14;"DPM Mejobo";"Kertas HVs";"Unit 'DPM Mejobo' tidak ditemukan | Barang 'Kertas HVs' TIDAK DITEMUKAN"
15;"DPM Mejobo";"Sabun cuci tangan";"Unit 'DPM Mejobo' tidak ditemukan | Barang 'Sabun cuci tangan' TIDAK DITEMUKAN"
16;"DPM Mejobo";"Tisu besar";"Unit 'DPM Mejobo' tidak ditemukan | Satuan beda (Excel: 'pack', Sistem: 'pcs')"
17;Farmasi;Bolpoin;"Barang 'Bolpoin' TIDAK DITEMUKAN"
18;Farmasi;"Isi staples";"Nama mirip (Sistem: 'Isi staples besar') | Satuan beda (Excel: 'box', Sistem: 'Pcs')"
19;Farmasi;"Karbon biru";"Barang 'Karbon biru' TIDAK DITEMUKAN"
20;Farmasi;"Kertas potong";"Nama mirip (Sistem: 'HVS ecer kertas potong (A5)') | Satuan beda (Excel: 'pack', Sistem: 'lembar')"
21;Farmasi;Sabun;"Nama mirip (Sistem: 'Sabun / Handsoap') | Satuan beda (Excel: 'botol', Sistem: 'pcs')"
22;Farmasi;Spidol;"Nama mirip (Sistem: 'Isi spidol marker') | Satuan beda (Excel: 'buah', Sistem: 'pcs')"
23;Farmasi;"Tisu besar";"Satuan beda (Excel: 'pack', Sistem: 'pcs')"
25;Gizi;"Kresek sampah kecil";"Barang 'Kresek sampah kecil' TIDAK DITEMUKAN"
26;Gizi;"Sabun cuci piring";"Barang 'Sabun cuci piring' TIDAK DITEMUKAN"
27;Gizi;"Sabun cuci tangan";"Barang 'Sabun cuci tangan' TIDAK DITEMUKAN"
28;Gizi;Sendok;"Barang 'Sendok' TIDAK DITEMUKAN"
29;Gizi;Solasi;"Nama mirip (Sistem: 'solasi bening') | Satuan beda (Excel: 'buah', Sistem: 'pcs')"
30;Gizi;"Solasi bening";"Satuan beda (Excel: 'pack', Sistem: 'pcs')"
31;Gizi;Spons;"Nama mirip (Sistem: 'Spon') | Satuan beda (Excel: 'buah', Sistem: 'pcs')"
32;Gizi;"Tisu besar";"Satuan beda (Excel: 'pack', Sistem: 'pcs')"
34;Laboratorium;Bayclin;"Barang 'Bayclin' TIDAK DITEMUKAN"
35;Laboratorium;Bolpoin;"Barang 'Bolpoin' TIDAK DITEMUKAN"
36;Laboratorium;"Bolpoin warna";"Barang 'Bolpoin warna' TIDAK DITEMUKAN"
37;Laboratorium;"Buku batik besar";"Barang 'Buku batik besar' TIDAK DITEMUKAN"
38;Laboratorium;"Kertas HVS A4";"Barang 'Kertas HVS A4' TIDAK DITEMUKAN"
39;Laboratorium;"Kertas HVS F4";"Barang 'Kertas HVS F4' TIDAK DITEMUKAN"
40;Laboratorium;Map;"Nama mirip (Sistem: 'Map felita') | Satuan beda (Excel: 'buah', Sistem: 'pcs')"
41;Laboratorium;Sabun;"Nama mirip (Sistem: 'Sabun / Handsoap') | Satuan beda (Excel: 'botol', Sistem: 'pcs')"
42;Laboratorium;"Tipe-X kertas";"Barang 'Tipe-X kertas' TIDAK DITEMUKAN"
43;Laboratorium;"Tisu besar";"Satuan beda (Excel: 'pack', Sistem: 'pcs')"
45;Laundry;Deterjen;"Barang 'Deterjen' TIDAK DITEMUKAN"
46;Laundry;"Liquid laundry";"Barang 'Liquid laundry' TIDAK DITEMUKAN"
47;Laundry;"Oxy / metil air";"Barang 'Oxy / metil air' TIDAK DITEMUKAN"
48;Laundry;"Plastik laundry";"Satuan beda (Excel: 'pack', Sistem: 'lembar')"
49;Laundry;Softener;"Satuan beda (Excel: 'botol', Sistem: 'jerigen')"
50;Laundry;"Tisu Besar";"Satuan beda (Excel: 'pack', Sistem: 'pcs')"
51;"Madinah 2";Bolpoin;"Barang 'Bolpoin' TIDAK DITEMUKAN"
52;"Madinah 2";"Form DNR";"Barang 'Form DNR' TIDAK DITEMUKAN"
53;"Madinah 2";"Form RJP";"Barang 'Form RJP' TIDAK DITEMUKAN"
54;"Madinah 2";"Kertas HVS A5";"Barang 'Kertas HVS A5' TIDAK DITEMUKAN"
55;"Madinah 2";"Kertas HVS F4";"Barang 'Kertas HVS F4' TIDAK DITEMUKAN"
56;"Madinah 2";"Lembar monitoring roi";"Barang 'Lembar monitoring roi' TIDAK DITEMUKAN"
57;"Madinah 2";"Lembar permintaan darah";"Nama mirip (Sistem: 'Permintaan darah') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
58;"Madinah 2";"Lembar terapi obat";"Barang 'Lembar terapi obat' TIDAK DITEMUKAN"
59;"Madinah 2";"Pernyataan persetujuan";"Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
60;"Madinah 2";"Sabun cuci tangan";"Barang 'Sabun cuci tangan' TIDAK DITEMUKAN"
61;"Madinah 2";"Sticky note besar";"Satuan beda (Excel: 'buah', Sistem: 'pcs')"
62;"Madinah 2";"Tisu besar";"Satuan beda (Excel: 'pack', Sistem: 'pcs')"
64;"Madinah 3";"Amplop besar";"Nama mirip (Sistem: 'Amplop Besar Cetak') | Satuan beda (Excel: 'buah', Sistem: 'Box')"
65;"Madinah 3";"Amplop kecil";"Nama mirip (Sistem: 'Amplop Kecil Cetak ') | Satuan beda (Excel: 'buah', Sistem: 'Pcs')"
66;"Madinah 3";Bolpoin;"Barang 'Bolpoin' TIDAK DITEMUKAN"
67;"Madinah 3";"Buku tulis";"Satuan beda (Excel: 'buah', Sistem: 'pcs')"
68;"Madinah 3";"Form koreksi hipokalium";"Barang 'Form koreksi hipokalium' TIDAK DITEMUKAN"
69;"Madinah 3";"Form pemberian obat";"Barang 'Form pemberian obat' TIDAK DITEMUKAN"
70;"Madinah 3";"Form permintaan konsultasi";"Barang 'Form permintaan konsultasi' TIDAK DITEMUKAN"
71;"Madinah 3";"Form pernyataan persetujuan";"Nama mirip (Sistem: 'Pernyataan persetujuan') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
72;"Madinah 3";"Form retur obat";"Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
73;"Madinah 3";"Kertas HVS (ukuran tidak disebut)";"Barang 'Kertas HVS (ukuran tidak disebut)' TIDAK DITEMUKAN"
74;"Madinah 3";"Lembar observasi pasien";"Barang 'Lembar observasi pasien' TIDAK DITEMUKAN"
75;"Madinah 3";"Persetujuan tindakan operasi";"Nama mirip (Sistem: 'Fc persetujuan tindakan operasi (bendel op)') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
78;"Madinah 3";"Sabun cuci tangan";"Barang 'Sabun cuci tangan' TIDAK DITEMUKAN"
79;"Madinah 3";"Surat izin menunggu";"Barang 'Surat izin menunggu' TIDAK DITEMUKAN"
80;"Madinah 3";"Tisu besar";"Satuan beda (Excel: 'pack', Sistem: 'pcs')"
82;Marketing;"Lem kertas stik";"Unit 'Marketing' tidak ditemukan | Nama mirip (Sistem: 'Lem kertas') | Satuan beda (Excel: 'buah', Sistem: 'rim')"
83;Marketing;"Map kertas coklat besar";"Unit 'Marketing' tidak ditemukan | Nama mirip (Sistem: 'Map kertas') | Satuan beda (Excel: 'buah', Sistem: 'rim')"
84;Marketing;"Sheet protector";"Unit 'Marketing' tidak ditemukan | Satuan beda (Excel: 'pack/buah', Sistem: 'pcs')"
85;Marketing;Stabilo;"Unit 'Marketing' tidak ditemukan | Barang 'Stabilo' TIDAK DITEMUKAN"
86;Marketing;"Sticky note besar";"Unit 'Marketing' tidak ditemukan | Satuan beda (Excel: 'buah', Sistem: 'pcs')"
87;Marketing;"Tisu kecil";"Unit 'Marketing' tidak ditemukan"
88;Marwa;"Amplop besar";"Nama mirip (Sistem: 'Amplop Besar Cetak') | Satuan beda (Excel: 'buah', Sistem: 'Box')"
89;Marwa;"Amplop kecil";"Nama mirip (Sistem: 'Amplop Kecil Cetak ') | Satuan beda (Excel: 'buah', Sistem: 'Pcs')"
90;Marwa;"Baterai A3";"Satuan beda (Excel: 'buah', Sistem: 'pcs')"
91;Marwa;Bolpoin;"Barang 'Bolpoin' TIDAK DITEMUKAN"
92;Marwa;"Kertas HVS";"Barang 'Kertas HVS' TIDAK DITEMUKAN"
93;Marwa;"Kertas HVS A4";"Barang 'Kertas HVS A4' TIDAK DITEMUKAN"
94;Marwa;"Kertas HVS A5";"Barang 'Kertas HVS A5' TIDAK DITEMUKAN"
95;Marwa;"Lembar EKG";"Barang 'Lembar EKG' TIDAK DITEMUKAN"
96;Marwa;"Lembar GDS";"Barang 'Lembar GDS' TIDAK DITEMUKAN"
97;Marwa;"Lembar injeksi";"Barang 'Lembar injeksi' TIDAK DITEMUKAN"
98;Marwa;"Lembar konsul";"Barang 'Lembar konsul' TIDAK DITEMUKAN"
99;Marwa;"Lembar persetujuan";"Nama mirip (Sistem: 'Persetujuan') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
100;Marwa;"Lembar ROI";"Barang 'Lembar ROI' TIDAK DITEMUKAN"
101;Marwa;"Lembar rujuk";"Nama mirip (Sistem: 'Rujuk') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
102;Marwa;"Map plastik";"Satuan beda (Excel: 'buah', Sistem: 'pcs')"
105;Marwa;Sabun;"Nama mirip (Sistem: 'Sabun / Handsoap') | Satuan beda (Excel: 'botol', Sistem: 'pcs')"
106;Marwa;"Surat izin menunggu";"Barang 'Surat izin menunggu' TIDAK DITEMUKAN"
107;Marwa;"Tas besar";"Satuan beda (Excel: 'buah', Sistem: 'pcs')"
108;Marwa;"Tas kecil";"Satuan beda (Excel: 'buah', Sistem: 'pcs')"
109;Marwa;"Tisu besar";"Satuan beda (Excel: 'pack', Sistem: 'pcs')"
111;Pendaftaran;Bolpoin;"Barang 'Bolpoin' TIDAK DITEMUKAN"
112;Pendaftaran;Budget;"Nama mirip (Sistem: 'Fc lembar budget') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
113;Pendaftaran;Cair;"Nama mirip (Sistem: 'Cairan Pembersih Lantai')"
114;Pendaftaran;Casemix;"Nama mirip (Sistem: 'Fc casemix') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
115;Pendaftaran;"GC RI";"Barang 'GC RI' TIDAK DITEMUKAN"
116;Pendaftaran;"GC RJ";"Barang 'GC RJ' TIDAK DITEMUKAN"
117;Pendaftaran;"Identitas pasien";"Barang 'Identitas pasien' TIDAK DITEMUKAN"
118;Pendaftaran;"Isi staples kecil";"Satuan beda (Excel: 'box', Sistem: 'Pcs')"
119;Pendaftaran;"Kertas karbon";"Barang 'Kertas karbon' TIDAK DITEMUKAN"
120;Pendaftaran;"Kertas potong 2";"Nama mirip (Sistem: 'Kertas potong 2 (A5)') | Satuan beda (Excel: 'pack', Sistem: 'rim')"
121;Pendaftaran;"Kertas apm";"Nama mirip (Sistem: 'Kertas APM (thermal)') | Satuan beda (Excel: 'roll', Sistem: 'rim')"
122;Pendaftaran;"Kertas trigonal kecil";"Nama mirip (Sistem: 'Trigonal') | Satuan beda (Excel: 'buah', Sistem: 'pcs')"
123;Pendaftaran;"Kertas WA";"Nama mirip (Sistem: 'Fc kertas wa') | Satuan beda (Excel: 'lembar', Sistem: 'rim')"
124;Pendaftaran;"Klip trigonal";"Satuan beda (Excel: 'buah', Sistem: 'box')"
125;Pendaftaran;"Penolakan asuransi";"Nama mirip (Sistem: 'Fc penolakan asuransi') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
126;Pendaftaran;Resep;"Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
127;Pendaftaran;Resume;"Nama mirip (Sistem: 'Resume medis') | Satuan beda (Excel: 'lembar', Sistem: 'pcs')"
128;Pendaftaran;"Spidol permanen";"Satuan beda (Excel: 'buah', Sistem: 'pcs')"
