"Tanggal (YYYY-MM-DD)";"Kode Unit";"Kode Barang";"Jumlah Diminta";"Keterangan Item"
2026-07-31;UNT-2026070025;BRG0720260219;5;"Import Otomatis"
2026-07-31;UNT-2026070025;;1;"Import Otomatis"
2026-07-31;UNT-2026070025;;2;"Import Otomatis"
2026-07-31;UNT-2026070025;;1;"Import Otomatis"
2026-07-31;UNT-2026070025;BRG0720260435;1;"Import Otomatis"
2026-07-31;UNT-2026070025;BRG0720260436;1;"Import Otomatis"
2026-07-31;UNT-2026070004;;2;"Import Otomatis"
2026-07-31;UNT-2026070004;BRG0720260333;1;"Import Otomatis"
2026-07-31;UNT-2026070004;BRG0720260335;1;"Import Otomatis"
2026-07-31;UNT-2026070004;BRG0720260435;2;"Import Otomatis"
2026-07-31;;;1;"Import Otomatis"
2026-07-31;;;20;"Import Otomatis"
2026-07-31;;;20;"Import Otomatis"
2026-07-31;;;1;"Import Otomatis"
2026-07-31;;BRG0720260435;2;"Import Otomatis"
2026-07-31;UNT-2026070005;;8;"Import Otomatis"
2026-07-31;UNT-2026070005;BRG0720260219;10;"Import Otomatis"
2026-07-31;UNT-2026070005;;1;"Import Otomatis"
2026-07-31;UNT-2026070005;BRG0720260214;2;"Import Otomatis"
2026-07-31;UNT-2026070005;BRG0720260364;1;"Import Otomatis"
2026-07-31;UNT-2026070005;BRG0720260217;5;"Import Otomatis"
2026-07-31;UNT-2026070005;BRG0720260435;3;"Import Otomatis"
2026-07-31;UNT-2026070005;BRG0720260436;3;"Import Otomatis"
2026-07-31;UNT-2026070007;;1;"Import Otomatis"
2026-07-31;UNT-2026070007;;1;"Import Otomatis"
2026-07-31;UNT-2026070007;;1;"Import Otomatis"
2026-07-31;UNT-2026070007;;2;"Import Otomatis"
2026-07-31;UNT-2026070007;BRG0720260222;1;"Import Otomatis"
2026-07-31;UNT-2026070007;BRG0720260222;1;"Import Otomatis"
2026-07-31;UNT-2026070007;BRG0720260384;2;"Import Otomatis"
2026-07-31;UNT-2026070007;BRG0720260435;2;"Import Otomatis"
2026-07-31;UNT-2026070007;BRG0720260436;1;"Import Otomatis"
2026-07-31;UNT-2026070012;;1;"Import Otomatis"
2026-07-31;UNT-2026070012;;2;"Import Otomatis"
2026-07-31;UNT-2026070012;;1;"Import Otomatis"
2026-07-31;UNT-2026070012;;2;"Import Otomatis"
2026-07-31;UNT-2026070012;;2;"Import Otomatis"
2026-07-31;UNT-2026070012;;2;"Import Otomatis"
2026-07-31;UNT-2026070012;BRG0720260289;2;"Import Otomatis"
2026-07-31;UNT-2026070012;BRG0720260364;1;"Import Otomatis"
2026-07-31;UNT-2026070012;;1;"Import Otomatis"
2026-07-31;UNT-2026070012;BRG0720260435;2;"Import Otomatis"
2026-07-31;UNT-2026070012;BRG0720260436;2;"Import Otomatis"
2026-07-31;UNT-2026070039;;1;"Import Otomatis"
2026-07-31;UNT-2026070039;;1;"Import Otomatis"
2026-07-31;UNT-2026070039;;1;"Import Otomatis"
2026-07-31;UNT-2026070039;BRG0720260339;2;"Import Otomatis"
2026-07-31;UNT-2026070039;BRG0720260378;1;"Import Otomatis"
2026-07-31;UNT-2026070039;BRG0720260435;2;"Import Otomatis"
2026-07-31;UNT-2026070013;;3;"Import Otomatis"
2026-07-31;UNT-2026070013;;50;"Import Otomatis"
2026-07-31;UNT-2026070013;;50;"Import Otomatis"
2026-07-31;UNT-2026070013;;50;"Import Otomatis"
2026-07-31;UNT-2026070013;;250;"Import Otomatis"
2026-07-31;UNT-2026070013;;50;"Import Otomatis"
2026-07-31;UNT-2026070013;BRG0720260323;50;"Import Otomatis"
2026-07-31;UNT-2026070013;;20;"Import Otomatis"
2026-07-31;UNT-2026070013;BRG0720260324;30;"Import Otomatis"
2026-07-31;UNT-2026070013;;1;"Import Otomatis"
2026-07-31;UNT-2026070013;BRG0720260398;2;"Import Otomatis"
2026-07-31;UNT-2026070013;BRG0720260435;5;"Import Otomatis"
2026-07-31;UNT-2026070013;BRG0720260436;5;"Import Otomatis"
2026-07-31;UNT-2026070014;BRG0720260010;10;"Import Otomatis"
2026-07-31;UNT-2026070014;BRG0720260008;10;"Import Otomatis"
2026-07-31;UNT-2026070014;;3;"Import Otomatis"
2026-07-31;UNT-2026070014;BRG0720260033;1;"Import Otomatis"
2026-07-31;UNT-2026070014;;5;"Import Otomatis"
2026-07-31;UNT-2026070014;;20;"Import Otomatis"
2026-07-31;UNT-2026070014;;10;"Import Otomatis"
2026-07-31;UNT-2026070014;BRG0720260324;10;"Import Otomatis"
2026-07-31;UNT-2026070014;BRG0720260200;10;"Import Otomatis"
2026-07-31;UNT-2026070014;;100;"Import Otomatis"
2026-07-31;UNT-2026070014;;10;"Import Otomatis"
2026-07-31;UNT-2026070014;BRG0720260151;5;"Import Otomatis"
2026-07-31;UNT-2026070014;BRG0720260334;5;"Import Otomatis"
2026-07-31;UNT-2026070014;BRG0720260337;5;"Import Otomatis"
2026-07-31;UNT-2026070014;;1;"Import Otomatis"
2026-07-31;UNT-2026070014;;1;"Import Otomatis"
2026-07-31;UNT-2026070014;BRG0720260435;3;"Import Otomatis"
2026-07-31;UNT-2026070014;BRG0720260436;1;"Import Otomatis"
2026-07-31;;BRG0720260285;2;"Import Otomatis"
