"Kode Aset";"Serial Number";"Kode Item";"Nama Aset";Spesifikasi;"Tanggal Perolehan";"Harga Beli";"Sumber Perolehan";"Kode Unit";"Nama Unit";PIC;Kondisi;Status;"Jenis KIB";"Masa Manfaat (Tahun)";"Nilai Residu";"Akumulasi Penyusutan";"Nilai Buku"
07205140001;SN-07205140001;BRG0720260356;"Keranjang Resep Plastik";;2017-01-01;10000;Beli;UNT-2026070001;AROFAH;;Baik;Aktif;B;5;0;0;10000
07205140002;SN-07205140002;BRG0720260356;"Keranjang Resep Plastik";;2017-01-01;10000;Beli;UNT-2026070001;AROFAH;;Baik;Aktif;B;5;0;0;10000
07205140003;SN-07205140003;BRG0720260356;"Keranjang Resep Plastik";;2017-01-01;10000;Beli;UNT-2026070001;AROFAH;;Baik;Aktif;B;5;0;0;10000
07205140004;SN-07205140004;BRG0720260356;"Keranjang Resep Plastik";;2017-01-01;10000;Beli;UNT-2026070001;AROFAH;;Baik;Aktif;B;5;0;0;10000
07205140005;SN-07205140005;BRG0720260356;"Keranjang Resep Plastik";;2017-01-01;10000;Beli;UNT-2026070001;AROFAH;;Baik;Aktif;B;5;0;0;10000
07205140006;SN-07205140006;BRG0720260356;"Keranjang Resep Plastik";;2017-01-01;10000;Beli;UNT-2026070001;AROFAH;;Baik;Aktif;B;5;0;0;10000
07205140007;SN-07205140007;BRG0720260356;"Keranjang Resep Plastik";;2017-01-01;10000;Beli;UNT-2026070001;AROFAH;;Baik;Aktif;B;5;0;0;10000
07207130001;SN-07207130001;BRG0720260299;Ordner;;2018-01-01;20000;Beli;UNT-2026070001;AROFAH;;Baik;Aktif;B;5;0;0;20000
07207130002;SN-07207130002;BRG0720260299;Ordner;;2018-01-01;20000;Beli;UNT-2026070001;AROFAH;;Baik;Aktif;B;5;0;0;20000
07201100001;SN-07201100001;BRG0720260206;Gayung;;2017-01-01;5000;Beli;UNT-2026070001;AROFAH;;Baik;Aktif;B;5;0;0;5000
07201090001;SN-07201090001;BRG0720260035;Ember;;2017-01-01;30000;Beli;UNT-2026070001;AROFAH;;Baik;Aktif;B;5;0;0;30000
24207030001;SN-24207030001;BRG0720260209;Gunting;;2018-01-01;10000;Beli;UNT-2026070005;Farmasi;;Baik;Aktif;B;5;0;0;10000
24207030002;SN-24207030002;BRG0720260209;Gunting;;2018-01-01;10000;Beli;UNT-2026070005;Farmasi;;Baik;Aktif;B;5;0;0;10000
24207030003;SN-24207030003;BRG0720260209;Gunting;;2018-01-01;10000;Beli;UNT-2026070005;Farmasi;;Baik;Aktif;B;5;0;0;10000
24207090101;SN-24207090101;BRG0720260388;"Staples Kecil";;2018-01-01;10000;Beli;UNT-2026070005;Farmasi;;Baik;Aktif;B;5;0;0;10000
24207090102;SN-24207090102;BRG0720260388;"Staples Kecil";;2018-01-01;10000;Beli;UNT-2026070005;Farmasi;;Baik;Aktif;B;5;0;0;10000
91202040101;SN-91202040101;BRG0720260415;Printer;"Epson L3210";2025-01-01;2700000;Beli;UNT-2026070005;Farmasi;;Baik;Aktif;B;5;0;0;2700000
10207090101;SN-10207090101;BRG0720260388;"Staples Kecil";Kenko;2018-01-01;10000;Beli;UNT-2026070010;IPRS;;Baik;Aktif;B;5;0;0;10000
10207030001;SN-10207030001;BRG0720260209;Gunting;Joyko;2018-01-01;18000;Beli;UNT-2026070010;IPRS;;Baik;Aktif;B;5;0;0;18000
11206210101;SN-11206210101;BRG0720260012;Bantal;;2018-01-01;30000;Beli;UNT-2026070013;"MADINAH 2";;Baik;Aktif;B;5;0;0;30000
11201100001;SN-11201100001;BRG0720260206;Gayung;Lionstar;2017-01-01;5000;Beli;UNT-2026070013;"MADINAH 2";;Baik;Aktif;B;5;0;0;5000
